seed,paired_contrast_count,strict_paired_utility_advantage_count,strict_paired_utility_disadvantage_count,strict_safe_paired_advantage_count,uncertain_contrast_count
263,32,0,9,0,23
269,32,0,1,0,31
271,32,0,10,0,22
277,32,0,4,0,28
281,32,1,8,0,23
283,32,0,13,0,19
293,32,0,3,0,29
307,32,0,7,0,25
311,32,2,7,2,23
313,32,2,3,1,27
317,32,1,3,0,28
331,32,2,6,0,24
337,32,1,7,1,24
347,32,2,4,2,26
349,32,1,4,1,27
353,32,2,9,0,21
359,32,1,7,1,24
367,32,2,10,0,20
