alternative_action,contrast_count,mean_action_effect_utility_contrast,median_action_effect_utility_contrast,strict_paired_utility_advantage_count,strict_paired_utility_disadvantage_count,uncertain_contrast_count,strict_safe_paired_advantage_count,mean_bootstrap_probability_positive,mean_irrelevant_exposure_contrast,mean_false_warmup_contrast,mean_worst_utility_contrast,mean_p10_utility_contrast
PLACE_AT_10,144,-1.715648148148148,-1.6800000000000015,1,48,95,0,0.18917708333333336,0.5611111111111191,-0.02222222222222221,-0.3336111111111108,3.040833333333334
PLACE_AT_2,144,-0.23249999999999987,-0.033333333333332625,7,19,118,3,0.4454736111111111,-0.08888888888888534,0.005555555555555565,-0.09611111111111165,-0.11166666666666797
PLACE_AT_3,144,-0.38657407407407396,-0.2666666666666652,6,27,111,4,0.42720694444444446,-0.0972222222222218,0.002777777777777784,-0.02861111111111163,0.09972222222222239
PLACE_AT_5,144,-0.7738888888888887,-0.7466666666666668,3,21,120,1,0.3147069444444444,0.004166666666664504,-0.012500000000000006,-0.3697222222222218,0.4238888888888899
