action,relevant_discovery_delta_mean,relevant_discovery_delta_min,relevant_discovery_delta_max,irrelevant_exposure_delta_mean,irrelevant_exposure_delta_min,irrelevant_exposure_delta_max,false_warmup_delta_mean,false_warmup_delta_min,false_warmup_delta_max,mean_scenario_replication_utility_delta_mean,mean_scenario_replication_utility_delta_min,mean_scenario_replication_utility_delta_max,worst_scenario_utility_delta_mean,worst_scenario_utility_delta_min,worst_scenario_utility_delta_max,p10_scenario_replication_utility_delta_mean,p10_scenario_replication_utility_delta_min,p10_scenario_replication_utility_delta_max
PLACE_AT_1,6.451388888888912,-6.599999999999909,22.399999999999864,-0.8097222222222406,-26.399999999999864,8.199999999999932,0.004166666666666644,-0.7999999999999998,1.1999999999999997,2.201666666666666,-2.346666666666668,7.3599999999999985,0.032499999999999654,-6.639999999999998,6.279999999999996,-3.791944444444445,-10.559999999999997,1.0800000000000067
PLACE_AT_10,1.3722222222222475,-4.0,13.0,-0.24861111111112144,-5.600000000000023,6.399999999999864,-0.01805555555555556,-0.40000000000000036,0.3999999999999999,0.4860185185185185,-1.3200000000000045,4.333333333333335,-0.30111111111111116,-3.6,2.8000000000000056,-0.7511111111111105,-6.279999999999989,1.0
PLACE_AT_2,5.747222222222245,-6.0,23.799999999999955,-0.8986111111111259,-27.59999999999991,8.600000000000023,0.009722222222222214,-0.7999999999999998,0.8000000000000003,1.9691666666666663,-2.2133333333333343,7.813333333333331,-0.063611111111112,-4.6,3.759999999999991,-3.903611111111113,-11.800000000000011,0.8000000000000003
PLACE_AT_3,5.277777777777804,-6.2000000000000455,24.59999999999991,-0.9069444444444623,-26.59999999999991,7.800000000000068,0.006944444444444434,-0.6000000000000001,1.1999999999999997,1.8150925925925927,-1.6933333333333356,8.146666666666665,0.0038888888888880097,-4.6,3.4399999999999977,-3.692222222222222,-11.399999999999999,2.0
PLACE_AT_5,4.10555555555557,-6.600000000000136,20.399999999999864,-0.8055555555555761,-24.59999999999991,8.0,-0.008333333333333358,-0.7999999999999998,0.8000000000000003,1.4277777777777778,-2.2799999999999994,6.599999999999998,-0.3372222222222222,-7.239999999999986,3.3599999999999968,-3.368055555555555,-12.91999999999997,1.159999999999991
