risk_head,positive_rate,baseline_brier,model_brier,brier_skill,baseline_auc,model_auc
irrelevant_exposure_increase,0.39305555555555555,0.23515972222222223,0.2513052808833642,-0.06865784033323807,0.5623913447776763,0.495374825140898
false_warmup_increase,0.19583333333333333,0.15334953703703702,0.17457729750315637,-0.13842728759586942,0.5368941314812774,0.4883879028405541
negative_worst_scenario_utility,0.49722222222222223,0.2521064814814815,0.2543810517574502,-0.009022260207680377,0.46898052409024965,0.5405992468903361
negative_p10_scenario_utility,0.8458333333333333,0.08919212962962964,0.0880439917299687,0.012872636906738122,0.814028314028314,0.8210624417520969
