outer_fold,risk_head,candidate,family,params_json,inner_brier
2,negative_p10_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.08969664793555061
2,negative_p10_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.09050105838136073
2,negative_p10_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.09065961441438407
2,negative_p10_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.10358188497977931
2,negative_p10_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.12934107979294632
2,negative_p10_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.15901893883610366
3,irrelevant_exposure_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.252646740793749
3,irrelevant_exposure_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.25950866393160904
3,irrelevant_exposure_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.26339573708203773
3,irrelevant_exposure_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.2702310448570749
3,irrelevant_exposure_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.30212204797007874
3,irrelevant_exposure_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.30655083048616677
3,false_warmup_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.1479494733156462
3,false_warmup_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.14918179614112292
3,false_warmup_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.15015371482991102
3,false_warmup_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.17524402560691668
3,false_warmup_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.22746114844466028
3,false_warmup_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.2816347446665085
3,negative_worst_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.2603377882382157
3,negative_worst_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.26034765438033564
