candidate_name,complete_action_join,mean_abs_error,max_abs_error,exact_reconciliation,reference_policy,treatment_policy,aggregation_name
qrsbt_gate_minus_base__mean_scenario_replication_five_day_sum_policy_delta,True,3.05719007851027e-15,1.7430501486614958e-14,True,base,qrsbt_gate,mean_scenario_replication_five_day_sum_policy_delta
qrsbt_gate_minus_base__mean_paired_daily_policy_utility_delta,True,1.3864148148148145,6.517333333333331,False,base,qrsbt_gate,mean_paired_daily_policy_utility_delta
qrsbt_gate_minus_base__mean_scenario_replication_daily_mean_policy_delta,True,1.3864148148148145,6.517333333333331,False,base,qrsbt_gate,mean_scenario_replication_daily_mean_policy_delta
base_minus_qrsbt_gate__mean_paired_daily_policy_utility_delta,True,2.079622222222222,9.775999999999998,False,qrsbt_gate,base,mean_paired_daily_policy_utility_delta
base_minus_qrsbt_gate__mean_scenario_replication_daily_mean_policy_delta,True,2.079622222222222,9.775999999999998,False,qrsbt_gate,base,mean_scenario_replication_daily_mean_policy_delta
base_minus_qrsbt_gate__mean_scenario_replication_five_day_sum_policy_delta,True,3.466037037037037,16.293333333333333,False,qrsbt_gate,base,mean_scenario_replication_five_day_sum_policy_delta
