outer_fold,task,selection_kind,selected_candidate,candidate,inner_metric,mean_inner_loss,fold_count
4,p10_utility,logistic_c,1.0,5.0,brier,0.09339557053850336,5
4,p10_utility,logistic_c,1.0,0.2,brier,0.09506219371570573,5
4,p10_utility,logistic_c,1.0,0.05,brier,0.10441966216567866,5
5,utility,ridge_alpha,0.1,0.1,mae,1.1164792810095832,5
5,utility,ridge_alpha,0.1,1.0,mae,1.1166208005081733,5
5,utility,ridge_alpha,0.1,10.0,mae,1.120130845132121,5
5,utility,ridge_alpha,0.1,100.0,mae,1.1674401780181864,5
5,irrelevant,logistic_c,0.2,0.2,brier,0.23702575711332355,5
5,irrelevant,logistic_c,0.2,0.05,brier,0.23723638207047643,5
5,irrelevant,logistic_c,0.2,1.0,brier,0.23731796664730678,5
5,irrelevant,logistic_c,0.2,5.0,brier,0.2375416077207244,5
5,false_warmup,logistic_c,0.05,0.05,brier,0.1595954945385306,5
5,false_warmup,logistic_c,0.05,0.2,brier,0.15966387089383105,5
5,false_warmup,logistic_c,0.05,1.0,brier,0.1604689711421444,5
5,false_warmup,logistic_c,0.05,5.0,brier,0.16103609846991276,5
5,worst_utility,logistic_c,0.05,0.05,brier,0.2580214317109716,5
5,worst_utility,logistic_c,0.05,0.2,brier,0.2607504455867974,5
5,worst_utility,logistic_c,0.05,1.0,brier,0.26272257508567676,5
5,worst_utility,logistic_c,0.05,5.0,brier,0.2634946542448098,5
5,p10_utility,logistic_c,1.0,1.0,brier,0.09410340763431707,5
5,p10_utility,logistic_c,1.0,5.0,brier,0.09446879577386522,5
5,p10_utility,logistic_c,1.0,0.2,brier,0.09588609844646409,5
5,p10_utility,logistic_c,1.0,0.05,brier,0.10653018038942522,5
6,utility,ridge_alpha,0.1,0.1,mae,1.1173208042952048,5
6,utility,ridge_alpha,0.1,1.0,mae,1.1176093465863193,5
6,utility,ridge_alpha,0.1,10.0,mae,1.1239457508718853,5
6,utility,ridge_alpha,0.1,100.0,mae,1.1696815599734691,5
6,irrelevant,logistic_c,0.05,0.05,brier,0.24225565471559302,5
6,irrelevant,logistic_c,0.05,0.2,brier,0.24341314633288028,5
6,irrelevant,logistic_c,0.05,1.0,brier,0.24458224740995882,5
6,irrelevant,logistic_c,0.05,5.0,brier,0.24522768423187108,5
6,false_warmup,logistic_c,0.2,0.2,brier,0.1627767431117337,5
6,false_warmup,logistic_c,0.2,0.05,brier,0.16296232887473033,5
6,false_warmup,logistic_c,0.2,1.0,brier,0.16330463767641112,5
6,false_warmup,logistic_c,0.2,5.0,brier,0.16370968189370522,5
6,worst_utility,logistic_c,0.05,0.05,brier,0.2583840618830213,5
6,worst_utility,logistic_c,0.05,0.2,brier,0.2610300752945275,5
6,worst_utility,logistic_c,0.05,1.0,brier,0.26325019572068964,5
6,worst_utility,logistic_c,0.05,5.0,brier,0.2642239610623405,5
6,p10_utility,logistic_c,1.0,1.0,brier,0.09018088706097857,5
6,p10_utility,logistic_c,1.0,5.0,brier,0.09049391304048696,5
6,p10_utility,logistic_c,1.0,0.2,brier,0.09244502860460634,5
6,p10_utility,logistic_c,1.0,0.05,brier,0.1041006399146718,5
