outer_fold,train_seed_count,test_seed_count,train_seeds,test_seeds,train_rows,test_rows
1,15,3,"[263, 269, 281, 283, 293, 307, 311, 313, 317, 331, 337, 349, 353, 359, 367]","[271, 277, 347]",600,120
2,15,3,"[263, 269, 271, 277, 281, 293, 307, 311, 313, 317, 347, 349, 353, 359, 367]","[283, 331, 337]",600,120
3,15,3,"[263, 271, 277, 281, 283, 293, 307, 313, 331, 337, 347, 349, 353, 359, 367]","[269, 311, 317]",600,120
4,15,3,"[263, 269, 271, 277, 283, 293, 311, 313, 317, 331, 337, 347, 353, 359, 367]","[281, 307, 349]",600,120
5,15,3,"[269, 271, 277, 281, 283, 293, 307, 311, 317, 331, 337, 347, 349, 353, 367]","[263, 313, 359]",600,120
6,15,3,"[263, 269, 271, 277, 281, 283, 307, 311, 313, 317, 331, 337, 347, 349, 359]","[293, 353, 367]",600,120
