task,kind,baseline_mae,model_mae,relative_mae_improvement,baseline_rmse,model_rmse,baseline_roc_auc,model_roc_auc,baseline_brier,model_brier,brier_skill,positive_count,positive_rate,predeclared_risk_head_qualified
utility,regression,1.0860987654320986,1.0924841776466205,-0.005879218739357956,1.4217959023945186,1.4333373122738895,,,,,,,,
irrelevant,binary,,,,,,0.5623913447776763,0.5305528377711832,0.23515972222222226,0.24259372378811525,-0.03161256313642002,283.0,0.39305555555555555,False
false_warmup,binary,,,,,,0.5368941314812774,0.5588444248459683,0.15334953703703705,0.1578907803553436,-0.029613674785400525,141.0,0.19583333333333333,False
worst_utility,binary,,,,,,0.46898052409024965,0.461819809253372,0.25210648148148146,0.2569307817708793,-0.019135962951242938,358.0,0.49722222222222223,False
p10_utility,binary,,,,,,0.814028314028314,0.8145978490806078,0.08919212962962964,0.09197498235519828,-0.03120065343348619,609.0,0.8458333333333333,False
